Local Government Areas (LGAs),Population by LGAs 2001,Babies under 1 year,Children 1-3 years,Children 4-8 years,Adolescents 9-11 years,12-18 years,Women 19-50,Women 51-70,Men 19-70,Adults over 70,Total amount of calcium required by LGAs,Demand by LGAs
Cumberland,171200,2141,6962,12002,7354,16703,39612,16232,55155,15039,180952924,166012
Dubbo,47176,590,1918,3307,2026,4603,10916,4473,15198,4144,48948514,44907
Dungog,8338,104,339,585,358,813,1929,791,2686,732,8600636,7890
Edward River,10074,126,410,706,433,983,2331,955,3245,885,10394052,9536
Eurobodalla,33639,421,1368,2358,1445,3282,7783,3189,10837,2955,34831683,31956
Fairfield,187825,2349,7638,13168,8068,18325,43459,17808,60511,16499,199013348,182581
Federation,12121,152,493,850,521,1183,2805,1149,3905,1065,12509966,11477
Forbes,10062,126,409,705,432,982,2328,954,3242,884,10381652,9524
Georges River,125777,1573,5115,8818,5403,12271,29102,11925,40521,11049,132048805,121146
Gilgandra,4761,60,194,334,205,464,1102,451,1534,418,4908302,4503
Glen Innes Severn,8818,110,359,618,379,860,2040,836,2841,775,9096417,8345
Goulburn Mulwaree,26401,330,1074,1851,1134,2576,6109,2503,8505,2319,27307173,25052
Greater Hume,10455,131,425,733,449,1020,2419,991,3368,918,10787780,9897
Griffith,24412,305,993,1711,1049,2382,5648,2315,7865,2144,25242310,23158
Gunnedah,12306,154,500,863,529,1201,2847,1167,3965,1081,12701259,11653
Gwydir,5716,71,232,401,246,558,1323,542,1841,502,5893702,5407
Hawkesbury,62412,780,2538,4376,2681,6089,14441,5917,20107,5483,64905675,59546
